record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder
3303.931196824,164,1.679264,1.871506,1.696136,0.00526,0.162696,3.720509,run_tableB_20250811_132829/frames/trial_0164_20250811_133121
3305.032962212,165,1.293059,1.612439,1.473348,0.003847,0.132539,3.506167,run_tableB_20250811_132829/frames/trial_0165_20250811_133122
3306.015340376,166,0.70787,1.811112,1.6182,0.006703,0.182633,3.711642,run_tableB_20250811_132829/frames/trial_0166_20250811_133123
3306.982016807,167,0.560483,1.895361,1.678172,0.003407,0.210756,3.294329,run_tableB_20250811_132829/frames/trial_0167_20250811_133124
3307.963647052,168,0.417755,1.779252,1.597771,0.004919,0.172775,4.289588,run_tableB_20250811_132829/frames/trial_0168_20250811_133125
3308.974255357,169,0.094357,1.769554,1.548819,0.003006,0.214553,4.092548,run_tableB_20250811_132829/frames/trial_0169_20250811_133126
3309.904887794,170,0.17542,1.828254,1.606568,0.004839,0.213351,3.511888,run_tableB_20250811_132829/frames/trial_0170_20250811_133127
3310.950189619,171,0.0903,1.724589,1.511981,0.003005,0.207009,3.383446,run_tableB_20250811_132829/frames/trial_0171_20250811_133128
3311.889620108,172,0.741844,1.775886,1.641724,0.003356,0.128231,3.513681,run_tableB_20250811_132829/frames/trial_0172_20250811_133129
3312.876009247,173,0.290896,1.839696,1.655019,0.007124,0.171352,3.804146,run_tableB_20250811_132829/frames/trial_0173_20250811_133130
3313.82818246,174,0.59619,1.854003,1.590258,0.006372,0.253055,3.526416,run_tableB_20250811_132829/frames/trial_0174_20250811_133131
3314.796919561,175,0.609525,1.704993,1.492654,0.002846,0.207079,3.177719,run_tableB_20250811_132829/frames/trial_0175_20250811_133132
3315.767452381,176,1.492304,1.513593,1.269585,0.005881,0.235262,3.44919,run_tableB_20250811_132829/frames/trial_0176_20250811_133133
3316.79159879,177,0.747594,1.63432,1.375113,0.005631,0.249007,3.693769,run_tableB_20250811_132829/frames/trial_0177_20250811_133134
3317.768670748,178,1.114224,1.926038,1.652926,0.006602,0.262133,3.533849,run_tableB_20250811_132829/frames/trial_0178_20250811_133135
3318.840926881,179,1.577584,1.78881,1.649048,0.003216,0.133881,3.336167,run_tableB_20250811_132829/frames/trial_0179_20250811_133136
3319.807460547,180,0.79833,1.720723,1.532549,0.003997,0.179898,3.174914,run_tableB_20250811_132829/frames/trial_0180_20250811_133137
3320.745540293,181,1.571513,1.734979,1.503715,0.004018,0.224371,3.649577,run_tableB_20250811_132829/frames/trial_0181_20250811_133138
